day,trades,volume_quote,price_open,price_close,price_low,price_high,max_delta_within_leg,max_delta_between_legs,bound_within_leg_delta_0.02,bound_within_leg_source_0.02,bound_within_leg_delta_0.05,bound_within_leg_source_0.05,bound_within_leg_delta_0.1,bound_within_leg_source_0.1,bound_within_leg_delta_0.5,bound_within_leg_source_0.5,bound_between_legs_delta_0.02,bound_between_legs_source_0.02,bound_between_legs_gap_seconds_0.02,bound_between_legs_delta_0.05,bound_between_legs_source_0.05,bound_between_legs_gap_seconds_0.05,bound_between_legs_delta_0.1,bound_between_legs_source_0.1,bound_between_legs_gap_seconds_0.1,bound_between_legs_delta_0.5,bound_between_legs_source_0.5,bound_between_legs_gap_seconds_0.5,thin_depth_5pct_within_leg,thin_depth_5pct_between_legs,manipulation_cheap_within_leg,manipulation_cheap_between_legs
2026-02-01,239,16.0846259,1.0565202202494999,1.0555809171491575,1.0555807748000001,1.0565312252,0.0000009987410014046262398735,0.0009004051823319546023617877,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,280,142.6729363,1.0555809171491575,1.0557447009995,1.0555809171491575,1.0599010599010599,0.0000125011920437950935334385,0.0031011902279230847195693817,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,275,44.9453629,1.0557447009995,1.0558507136458949,1.0553157832695004,1.0588235294117647,0.000443695701783049539446355,0.0018917877394137887611910076,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,224,158.1155582,1.0558507136458949,1.056872233509897,1.0558506532990004,1.05687237865,0.0000024588175848873264216146,0.0009003338761122599501116807,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05,435,635.0986435,1.0559526613063394,1.0555361616990007,1.0555361616990007,1.057437838298999,0.0003944301885876591324638649,0.0018016214593134771237883322,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06,481,680.278779,1.0555362204449811,1.0572691753,1.0555361616990007,1.0574848806,0.0000025493099904198230137779,0.0018016214593135718539269887,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-07,182,22.9808517,1.0558428247,1.0559037835245002,1.0558428247,1.0573302164744995,0.000010478926788688783779272,0.0013697242988326152520732537,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-08,146,10359.747769,1.0559627436995005,1.0559627436995005,1.0559627436995005,1.059053520999499,0.0015739375921253033858573555,0.0015015433294612050803125181,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09,188,8.9860727,1.0560526829495003,1.0563601980287515,1.0560526829495003,1.0573105757499999,0.0000039777968990199122700831,0.001133338676018053602291079,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10,183,98.8097918,1.0563601980287515,1.0573946135489993,1.0563601980287515,1.1111111111111111,0.0000205161617711094879708254,0.0517469514820515882199656689,,,,,,,,,0.000001,262733805310210049-0,399,0.000001,262733805310210049-0,399,,,,,,,,yes,,
